Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,library,npm,micromark-factory-space,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-factory-space@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-factory-title,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-factory-title@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-factory-whitespace,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-factory-whitespace@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-character,2.1.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-character@2.1.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-chunked,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-chunked@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-classify-character,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-classify-character@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-combine-extensions,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-combine-extensions@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-decode-numeric-character-reference,2.0.2,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-decode-numeric-character-reference@2.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-decode-string,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-decode-string@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-encode,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-encode@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-events-to-acorn,2.0.3,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-events-to-acorn@2.0.3,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-html-tag-name,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-html-tag-name@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-normalize-identifier,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-normalize-identifier@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-resolve-all,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-resolve-all@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-sanitize-uri,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-sanitize-uri@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-subtokenize,2.1.0,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-subtokenize@2.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
